distance,avg_speed,max_speed,speed_std,idle_time,accel_intensity,load,engine_cc,bike_top_speed,fuel_efficiency_km_l,fuel_used
107,23.70390881446408,50.48405154184566,14.605166300826015,6,4.83565599685995,239,160,114.5858697466541,33.91030538827861,3.1553829661759836
96,44.75886233465574,84.08198374076953,23.928835659217206,8,5.702478553470693,249,110,84.08198374076953,55.123991418489155,1.7415284621026301
16,48.15730758347619,74.17577425850541,21.685706712168255,4,6.605846282688333,154,200,115.45554564128874,24.96978885504679,0.6407743410600024
34,49.926926087299925,109.53600532512651,28.481057626251953,9,5.876418384480515,168,160,110.6591743624313,36.09631250905481,0.9419244691953244
113,29.947162649523445,80.63297895481963,28.445639540235998,12,7.124780666769614,101,110,90.24473095125698,46.839471500239014,2.412495196480246
53,58.72844242697013,108.96792863758591,31.639124186100656,9,7.193811700951675,88,150,108.96792863758591,30.899986908705976,1.7152110826644853
53,21.40980004688452,81.76255161202624,22.10190361118981,15,6.78135685712391,68,150,107.91822217291023,35.42226286979457,1.4962341676142434
76,71.24441235364614,103.15202709872895,30.947993831583634,0,7.483891151370215,80,125,106.8873060217492,42.28402726319404,1.7973690047767492
41,49.39511809836169,87.6160436419233,18.675989438405875,4,6.113707786827395,79,125,96.62949665069615,40.64306900585467,1.0087820876443636
113,24.118601581527095,88.71363302071748,19.097430734886874,9,5.898138782904975,82,155,121.71581091490818,29.58780952760999,3.819140443450319
112,33.8305582576042,84.15568634986981,25.789657965241833,9,6.444519459744198,64,150,119.7542985404809,28.689499769400715,3.903867299891215
105,24.738425819663167,90.47698179064761,22.381518899864485,18,6.418404448401756,219,155,120.02415258193871,29.84050147274537,3.5187076227891505
32,16.65116440577953,50.62670566787075,12.76726269837752,9,5.605826968617546,227,155,120.90353394881699,29.498091566797743,1.0848159423309383
117,33.67201154208376,80.56110457109034,24.63706860802044,5,7.004666807014205,144,200,131.93468303796791,24.772127341195343,4.723050159904205
8,28.103071690329212,67.28966818363686,20.422429028267345,4,4.502178632751073,217,200,122.65343352198983,27.3101246086387,0.29293165500495194
109,25.969247588132806,62.2281795896767,21.94029396653537,9,5.988931033969161,72,125,104.83310983445405,37.246933470937456,2.926415407728775
33,33.28823739123946,75.46679473338088,23.078317055519452,21,6.4550943345276925,216,125,105.65266889143909,37.38474561752619,0.8827129743669943
76,37.81958627943598,75.77032389791646,19.410344651718415,4,6.225678594739873,66,200,130.62185249017497,29.766447219610086,2.5532103122448326
113,22.849037548437646,65.82264109088696,21.58120595855985,18,5.689987516357386,227,110,92.27554349722006,36.976036207975284,3.0560333553445425
100,27.90214202445525,66.51501634703466,19.34489144798561,8,7.491499948665626,195,200,126.98150224786343,23.056714116576362,4.33713145309401
102,48.07230744054331,106.85578264388815,29.81008454009678,7,6.786451093134494,242,155,116.80445212843864,32.59977645232053,3.1288558113023313
45,70.89729058004222,110.27979444584015,32.07507321764367,2,5.001372609399282,90,200,128.00185152777877,33.806028228031266,1.331123540939569
71,48.695390283437085,94.3181425907957,22.840958587981298,1,6.118026596039321,211,200,116.50241025945425,34.862350946819,2.03658095543549
67,36.557804667310734,83.05765969560554,26.087848973373504,10,5.017354648623145,222,110,89.72353846073145,43.8479281527256,1.5280083420734045
34,40.32006826282291,92.89494035744173,26.97142625890166,8,6.228686231418061,104,150,110.91491076413942,31.826651907308644,1.0682870475669566
107,48.38441841832867,102.82247322631616,26.616408139191986,4,8.695949027867018,120,155,113.08929750103317,37.76956858622694,2.8329685512748655
6,39.51954054280111,74.11056878803001,21.387270059900878,4,7.355441318780191,239,160,112.91147326204282,31.196619386226068,0.19232853168215785
100,53.101908287347435,96.19995715238333,29.255994312172877,1,6.573044026713076,127,200,139.71349967614267,24.220225900519623,4.128780648484975
77,70.79737924850662,88.35282693467093,8.889840880027123,0,4.36067767686003,74,155,118.14316702260285,42.36617551677449,1.8174876316015962
82,30.74053123158224,69.04481636189543,23.00133001134358,14,5.470343232746669,238,125,97.34808603868754,38.9991517185873,2.1026098360215912
82,41.838234038449244,81.66461553217556,19.30595800475378,2,6.3307367335213325,216,125,108.2875196489893,40.64778608280325,2.01733004186153
32,41.878578000948686,91.38328210531725,26.653377737584066,10,6.630663540781889,107,155,111.59160160595115,32.21973026413481,0.9931802574902558
52,30.573157577575465,76.03576951473393,25.22345426569047,28,5.061071572772222,110,150,105.05836215395524,44.429954545435514,1.1703815709922258
41,33.05654902262765,65.72019125148248,17.802071485816338,5,6.5579781241339,123,125,100.24181200664238,38.790799146296706,1.0569516715902514
83,18.811274164617245,52.27668622330409,15.205565324917867,9,5.69361535647222,174,155,115.92768822020409,30.49049916150961,2.7221594359720087
96,61.559755330170596,78.62519252700801,13.296772370467506,0,4.677035415232991,111,160,112.09906408616817,43.07086592628933,2.2288848374744217
32,43.862569934829665,74.54422934675237,24.982676158061352,7,7.160336950764235,220,150,103.4425646184923,37.85912687535137,0.8452387215732113
20,46.97155145141652,101.14512504064129,24.334486846343697,6,5.269975394666255,175,155,114.26585241694848,32.02603010742186,0.624492012682056
23,44.196473401163345,89.46856599559366,29.78082459731437,10,4.995733210608982,214,110,90.70411049395207,45.80607933957932,0.5021167568062643
27,59.21204586287473,93.60670134020043,23.413131581703283,3,4.454445272945319,196,125,98.01820252825843,45.88433077811477,0.5884361729184914
41,37.92151889575262,74.80352573009402,21.75154315956161,12,5.530190668064419,193,110,81.52770897713575,54.647838835546395,0.7502583976537974
58,44.2395814486633,90.33292076719934,29.521590724401953,16,6.427434164873903,227,125,100.24940157291776,42.83124499529264,1.3541516247397076
67,49.48175825901945,72.58676963949794,16.65838630188701,2,5.776030087415424,168,160,122.29669554793017,38.750196543476946,1.7290234883022422
77,26.559741582722282,56.43469553786551,12.998987700156826,2,7.5694329118648636,243,110,86.45474642063586,41.844041096266714,1.840166436670235
92,39.707385197110845,77.27285072977917,22.76330039520535,10,6.782089272130854,242,110,88.95674930023254,48.01505922696592,1.916065531964012
115,59.82844746879903,103.25659844652846,33.02831982688949,9,7.049189611297801,205,160,126.75634940110898,34.369978154980444,3.3459433544427704
78,17.469229677779833,46.310431737651456,13.040494810749989,8,6.827905626460126,173,125,111.75107125733389,33.871413591529596,2.302826830336537
83,34.675610220434486,91.82809843792388,20.81516249149943,8,6.501330100296845,170,200,137.34435469404863,27.81241318096881,2.9842789785963046
101,16.699769650400953,50.774808626708705,14.351554659155255,19,5.3133401195121035,110,150,91.20975719162853,27.001830848104554,3.740487101343718
16,18.67570338374597,74.11721238041737,19.43962431130803,29,5.58258608368871,236,200,129.05945950961006,26.77183687691967,0.5976429661348264
19,32.872662303380196,76.13626835573422,24.32220682431249,13,7.045522041169872,182,110,87.32057336422625,42.08720455487945,0.45144362047674186
12,23.758136208787263,61.55465139228079,16.915507762618763,10,6.747500271107355,82,160,112.92612681765816,30.983625151306263,0.3873013548737076
35,67.62269422676636,114.48133173884774,30.773655883687834,4,5.554791362599138,71,155,118.72141920131787,42.69542491802642,0.81975996414601
111,21.81118087728762,80.34094775775084,25.274429432188676,12,6.209787646440001,131,110,81.98100216153561,41.96416447764003,2.6451140248281284
106,60.913552409687156,93.64480735660507,24.253917688193358,3,6.26655512522862,175,160,122.67325290192986,39.9835281757713,2.6510917079156737
42,18.10966402879729,68.81581163391645,18.02162609938144,22,5.8216778595421435,202,200,130.2249777762982,23.052555966130697,1.8219237841438185
51,41.90353696103411,69.46102603613808,19.343426751563474,3,7.481744814032959,190,110,92.5335606494684,58.5692501785934,0.8707640928386018
96,39.821709825466236,94.1280190149145,28.429272149806025,11,7.282667831550714,109,155,118.24753333614224,35.57827594249614,2.6982757724168893
87,18.06853391767018,53.00788827568184,16.016093806746504,7,5.915441724442435,166,160,117.28792320377981,32.24885686035232,2.697770044275905
60,26.60121442470855,86.35092852899614,19.993489957000637,15,6.5018709318402,115,200,131.14910656247903,26.58837715215477,2.2566251282146226
25,57.29250494144128,114.7564483725553,33.0737906868321,6,6.229248667328877,74,150,114.7564483725553,33.27045172842962,0.7514175101697668
56,11.799312676019962,59.64478917918606,11.88427925805794,12,5.049545921743658,83,125,107.69019074020603,37.845501024579015,1.4797003206175134
33,26.78525136237754,77.07337790194184,20.904009063417735,3,7.773592201798994,204,200,115.7651374084226,24.334573388787863,1.3560952753420665
92,35.80078893313834,89.45504141329899,25.4337683191099,12,6.637684481158998,231,150,91.66451826203732,32.59741074934845,2.822310051169904
61,28.850933079894457,77.06450972905198,19.716486999317173,6,6.418665972391879,155,160,120.98258180819992,35.15301723190818,1.7352706766982913
86,55.3015137348715,80.9931006272617,19.633803777964445,1,5.874820832707803,191,150,101.15408973823607,35.67537560932422,2.410626336265477
112,60.01374033287124,93.86257813270986,18.605624584583122,0,5.658700879854336,226,155,119.17948347173349,35.803118415634806,3.1282191316354973
7,44.252230972803495,60.69951636350745,8.200659784825115,0,4.681696542506116,157,110,81.20474671917867,61.498046818149646,0.11382475317791915
14,68.40330421801481,107.29821789622888,35.33199988695247,3,7.5492163559926055,64,155,117.00118798584533,43.250135993952206,0.3236984041381433
110,51.27545325133721,111.63443769140446,34.5135637437532,11,6.438937874161711,98,150,112.68995359440477,46.45170129149145,2.368051049621054
8,64.27813981953855,96.48637511653934,21.89954482380174,0,6.018420171150349,144,200,127.96379390172444,33.381472074272466,0.23965390088850227
73,31.167224863763327,63.61460509111671,20.12082646377294,14,6.822949299012471,220,150,92.01202954620867,39.20941910232196,1.861797539246813
88,46.08719815359592,102.17137395456234,30.990923538466223,1,6.834325249695769,85,200,130.87474153991127,30.879216767564575,2.84981321457722
49,37.66687631797866,88.12306724520394,27.58041184215652,6,6.383122374880365,123,125,102.31367922657985,37.51077229452163,1.3062914198425168
